time,client_ip,method,uri,status,req_time,uri_len,qparam_count,has_sqli,has_xss,uri_entropy,special_chars,frac_non_alnum,user_agent_suspicious
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.000,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.000,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.000,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.001,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.001,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.000,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.001,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.000,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.001,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.000,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.000,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.002,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.000,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.000,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.000,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.000,27,1,1,0,2.8431,6,0.32,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.000,30,1,1,0,3.669,10,0.4286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.000,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.000,17,1,1,0,3.0566,2,0.2667,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.000,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.000,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,0,1,4.1552,8,0.2273,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,4.0576,6,0.2286,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,2.6887,0,0.25,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.000,21,1,1,0,3.1556,6,0.4211,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.000,12,0,0,0,2.6887,0,0.25,0
